,iqr_outlier,lof_outlier,iforest_outlier,n_methods_flagging
0,False,False,False,0
1,False,False,False,0
2,False,False,True,1
3,False,False,False,0
4,False,False,False,0
5,False,False,True,1
6,False,False,False,0
7,False,False,False,0
8,False,False,False,0
9,False,False,False,0
10,False,False,False,0
11,False,False,False,0
12,False,False,False,0
13,False,False,False,0
14,False,False,True,1
15,False,False,False,0
16,False,False,False,0
17,True,False,False,1
18,False,False,False,0
19,False,False,False,0
20,False,False,False,0
21,False,False,False,0
22,False,False,False,0
23,False,False,False,0
24,False,False,False,0
25,False,False,False,0
26,False,False,False,0
27,False,False,False,0
28,False,False,False,0
29,True,False,True,2
30,False,False,False,0
31,False,False,False,0
32,False,False,False,0
33,False,False,False,0
34,False,False,False,0
35,False,False,False,0
